No,Data Item,METeOR identifier,ECLIPSE identifier,Obligation,Position Start,Position End,Type & size,Format,Repetition,Coding description,Edit Rules,Error code/s
1.0,Insurer  Membership Identifier,,,M,1.0,15.0,A(15),"Left justify
Blank fill ",1.0,"Insurer membership identifier.
",Reject record if blank,EE001
2.0,Insurer Identifier,,,M,16.0,18.0,A(3),"Left justify
",1.0,Insurer identifier selected from the list of registered private health insurers. ,Reject record if not a valid insurer code,EE002
3.0,Episode Identifier,,,M,19.0,33.0,A(15),Left justify,1.0,Unique episode identifier for this episode of care. ,"Reject record if blank
Reject record if not unique within monthly file","EE003
EE003.1"
4.0,Family Name,613331,,M,34.0,61.0,A(28),"Left justify
",1.0,"That part of a name a person usually has in common with some other members of his/her family, as distinguished from his/her given names, as represented by text.",Reject record if blank,EE004
5.0,Given Name,613340,,M,62.0,81.0,A(20),"Left justify
",1.0,"The person's identifying name within the family group or by which the person is socially identified, as represented by text.",Identify record if blank,EW005
6.0,Date of Birth,287007,,M,82.0,89.0,A(8),DDMMYYYY,1.0,"The date of birth of the person.
",Reject record if not in format DDMMYYYY,EE006
7.0,Postcode - Australian,611398,,M,90.0,93.0,N(4),"Right justify
Zero prefix",1.0,"The numeric descriptor for a postal delivery area, aligned with locality, suburb or place for the address of a person.
Codes 9999 = unknown postcode 
and     8888 = overseas 
will be used instead of METeOR codes  0097, 0098, 0099.",Reject record if not (a valid Australian postcode or 9999 or 8888),EE007
8.0,Sex,635126,,M,94.0,94.0,N(1),,1.0,"The distinction between male, female, and others who do not have biological characteristics typically associated with either the male or female sex, as represented by a code.
1 = Male
2 = Female
3 = Other
9 = Not stated / inadequately described","Reject record if not (1, 2, 3 or 9)",EE008
9.0,Admission Date,695137,,M,95.0,102.0,A(8),DDMMYYYY,1.0,Date on which an admitted patient commences an episode of care.,Reject record if not in format DDMMYYYY,EE009
10.0,Separation Date,270025,,M,103.0,110.0,A(8),DDMMYYYY,1.0,"Date on which an admitted patient completes an episode of care.
","Reject file if not in format DDMMYYYY, or if not ≥ admission date, or if MM is not same as month input in Insurer Header",EE010
11.0,Hospital Type,,,M,111.0,111.0,N(1),,1.0,"The type of hospital where the episode occurred.
1 = Public
2 = Private
3 = Private Day Facility
4 = Public Day Facility
9 = Other/unknown","Reject record if not (1, 2, 3, 4 or 9).
Identify if hospital type does not match provider hospital table","EE011
EW011"
12.0,ICU Days,,,M,112.0,114.0,N(3),"Right justify
Zero prefix
",1.0,"The number of days the patient spent in ICU, NICU or PICU.
Zero fill if not applicable.
* refer to guide for use.
","Reject record if not numeric.

Reject record if not zero for day facilities (public or private)
*warning for public hospitals","EE012.0
EW012.0*
EE012.1
EW012.1*"
13.0,ICU Hours,471553,,O,115.0,118.0,N(4),"Right justify
Zero prefix
",1.0,"The number of completed cumulative hours (rounded down) spent in ICU, NICU or PICU. If a patient has more than one period in ICU, NICU or PICU during this episode, the total duration of all such periods is reported. Zero fill if not applicable
* refer to guide for use.","If present, reject record if not numeric",EE013
14.0,Total Psychiatric Care Days,722678,,M,119.0,123.0,N(5),"Right justify
Zero prefix
",1.0,"The sum of the number of days or part days of stay that the person received care as an admitted patient or resident within a designated psychiatric unit, minus the sum of leave days occurring during the stay within the designated unit. 
Zero fill if not applicable.",Reject if not numeric,EE014
15.0,Diagnosis Related Group,729933,,O,124.0,127.0,A(4),Left justify,1.0,"A patient classification scheme which provides a means of relating the number and types of patients treated in a hospital to the resources required by the hospital, as represented by a code.","If present, identify record if not a valid DRG code for AR DRG version supplied at item 65.",EW015
16.0,"DRG Version
(superseded)",,,O,128.0,129.0,A(2),Blank fill,1.0,This field has been retained as a placeholder to minimise system changes. See replacement item: 'AR DRG version' (Item No 65),,
17.0,Admission Time,682942,,M,130.0,133.0,N(4),hhmm (24 hour clock),1.0,"Time at which an admitted patient commences an episode of care.
Blank fill if not applicable.
Mandatory for same-day patients only.","Reject record if blank and same-day status (Item 39) is 1.
If present, Reject record if not a valid time value in format HHMM (HH is in the range 00-23 and MM is in the range 00-59) ","EE017

EE017.1"
18.0,Urgency of Admission,686084,,M,134.0,134.0,N(1),,1.0,"Whether the admission has an urgency status assigned and, if so, whether admission occurred on an emergency basis, as represented by a code.
1 = Urgency status assigned - Emergency
2 = Urgency status assigned - Elective
3 = Urgency status not assigned
9 = Not known/not reported","Reject record if not (1, 2, 3 or 9)",EE018
19.0,Provider Number of Hospital from which transferred,,,M,135.0,142.0,A(8),"NNNNNNNA
(upper case)",1.0,"The Commonwealth-issued hospital provider number for the hospital from which a patient has been transferred (Provider number required only when HCP item number 21 is reported as:
 1- Admitted patient transferred from another hospital)
Blank fill if no hospital transfer.
Overseas hospitals to be coded as OVERSEAS

If a patient was transferred from Accident/Emergency at a different hospital from the one in which this separation occurred, then enter the Commonwealth-issued Provider number of that hospital","Reject record if Source of referral (item 21) is 1 and item 19 is not (a valid 8 character Commonwealth provider number or OVERSEAS)

Reject record if not blank and Source of Referral (item 21)
is not 1 or 4","EE019








EE019.1"
